usn,name,department,semester,attendance,internal_marks,assignment_score,quiz_score,lab_marks,semester_marks,study_hours
1RV21CSE1001,Neha Reddy,CSE,1,71.28,30.46,34.97,33.93,32.34,94.89,3.11
1RV21CSE1002,Divya Yadav,CSE,1,69.54,35.22,45.49,13.82,27.64,117.45,1.71
1RV21CSE1003,Girish Saxena,CSE,1,65.6,44.87,32.33,23.52,26.58,144.76,4.16
1RV21CSE1004,Pooja Rao,CSE,1,99.5,40.7,38.46,25.2,38.86,167.12,4.04
1RV21CSE1005,Riya Murthy,CSE,1,85.19,42.19,17.62,13.44,29.2,152.98,5.9
1RV21CSE1006,Naveen Rao,CSE,1,83.21,46.52,16.17,21.18,39.77,157.47,2.57
1RV21CSE1007,Gayathri Yadav,CSE,1,58.54,22.3,30.44,26.13,25.64,75.82,3.57
1RV21CSE1008,Harish Mehra,CSE,1,92.04,43.22,40.69,30.43,29.97,163.49,0.57
1RV21CSE1009,Anand Bhat,CSE,1,99.5,50.0,17.49,22.83,35.46,186.86,5.43
1RV21CSE1010,Suresh Desai,CSE,1,54.88,35.55,44.71,12.31,29.38,96.15,4.54
1RV21CSE1011,Jyothi Gupta,CSE,1,81.82,38.58,15.22,30.75,36.33,129.63,4.96
1RV21CSE1012,Yashwanth Gowda,CSE,1,94.96,37.19,40.92,21.8,34.37,107.5,2.09
1RV21CSE1013,Neha Malhotra,CSE,1,72.17,24.99,27.53,37.74,33.4,104.3,3.0
1RV21CSE1014,Pavan Nair,CSE,1,43.73,22.46,31.77,15.09,20.76,71.18,3.44
1RV21CSE1015,Keerthana Shetty,CSE,1,41.69,22.04,31.67,29.93,32.2,81.75,6.84
1RV21CSE1016,Manish Singh,CSE,1,56.07,41.13,39.3,34.4,31.75,120.24,3.56
1RV21CSE1017,Santhosh Kulkarni,CSE,1,86.14,45.07,24.53,27.34,39.57,140.52,4.03
1RV21CSE1018,Anjali Patel,CSE,1,93.77,35.61,40.85,13.49,46.78,126.68,3.91
1RV21CSE1019,Priya Deshpande,CSE,1,94.67,44.14,30.98,29.3,32.18,150.04,3.91
1RV21CSE1020,Akshata Gowda,CSE,1,73.87,31.03,31.28,16.36,34.03,111.21,0.2
1RV21CSE1021,Uday Verma,CSE,1,72.9,42.3,28.29,32.7,28.44,126.54,0.45
