usn,name,attendance,internal_marks,assignment_score,quiz_score,lab_marks,semester_marks,study_hours
1RV21CS001,Vivek Kulkarni,46.38,28.25,26.7,42.09,40.3,138.11,1.43
1RV21CS002,Arvind Reddy,46.64,26.56,35.16,20.8,25.97,110.26,3.72
1RV21CS003,Deepak Pillai,77.41,44.28,20.19,44.17,40.94,149.34,1.78
1RV21CS004,Tanmay Yadav,50.62,31.4,30.77,30.32,27.94,109.66,3.3
1RV21CS005,Rohan Bose,49.33,28.8,38.86,46.56,30.85,129.72,1.35
1RV21CS006,Chirag Malhotra,87.52,49.56,45.66,45.99,31.4,173.03,5.17
1RV21CS007,Vishal Das,64.54,40.11,41.05,40.51,22.14,144.86,3.67
1RV21CS008,Harsha Hegde,70.42,28.1,47.76,40.64,26.59,134.88,4.84
1RV21CS009,Vihaan Malhotra,90.2,44.15,32.03,21.99,47.39,156.03,4.59
1RV21CS010,Ankit Tiwari,72.46,46.54,39.29,24.29,24.19,145.45,3.69
1RV21CS011,Shreyas Patil,68.56,37.51,30.86,49.92,24.15,139.96,4.78
1RV21CS012,Rohan Shetty,79.51,43.76,32.66,21.91,31.45,148.11,3.65
1RV21CS013,Ramesh Sharma,82.42,23.44,46.54,42.53,43.06,147.17,2.47
1RV21CS014,Vishal Menon,45.18,41.66,41.59,49.16,42.86,165.44,1.53
1RV21CS015,Vivek Mishra,91.29,35.23,25.97,31.22,24.85,134.6,5.61
1RV21CS016,Aarav Kamble,62.83,20.58,47.87,46.36,44.95,144.62,1.29
1RV21CS017,Siddharth Nair,49.71,34.58,22.08,42.82,42.98,130.33,3.38
1RV21CS018,Ramesh Hegde,59.58,46.17,32.69,26.35,36.18,149.08,2.01
1RV21CS019,Shivam Ghosh,99.73,39.5,33.14,35.53,23.63,134.49,2.69
1RV21CS020,Suresh Deshmukh,57.66,26.61,22.13,38.93,26.87,120.71,5.3
1RV21CS021,Arjun Bhattacharya,58.09,40.07,26.43,23.97,48.07,142.31,3.36
1RV21CS022,Lokesh Banerjee,55.47,22.91,32.93,32.71,34.01,123.02,4.37
1RV21CS023,Yogesh Iyer,48.33,41.85,44.02,23.28,25.75,135.3,1.7
1RV21CS024,Nikhil Pandey,70.44,46.23,22.26,44.24,45.68,151.41,4.26
1RV21CS025,Prakash Sharma,98.29,47.79,45.46,24.99,34.57,156.25,3.01
1RV21CS026,Vihaan Hegde,65.84,49.56,27.96,43.52,33.65,154.22,5.79
1RV21CS027,Ramesh Bhat,84.51,24.64,28.9,49.06,37.38,138.42,4.74
1RV21CS028,Vihaan Patel,77.13,35.09,45.58,24.72,48.82,146.84,1.93
1RV21CS029,Tarun Gupta,82.14,27.06,23.6,46.71,27.39,127.02,4.1
1RV21CS030,Ajay Bhat,77.1,35.68,48.04,26.13,41.49,147.07,2.98
1RV21CS031,Chirag Tiwari,61.5,29.49,42.56,22.18,33.75,137.61,5.98
1RV21CS032,Arjun Chavan,56.72,27.96,48.0,46.43,46.38,154.93,1.79
1RV21CS033,Prakash Sinha,61.64,49.52,44.21,35.87,40.04,169.36,5.66
1RV21CS034,Krishna Joshi,59.55,46.69,42.27,24.66,28.45,138.83,2.71
1RV21CS035,Dev Tripathi,91.91,35.16,27.53,47.24,21.52,137.72,5.15
1RV21CS036,Aditya Sharma,63.35,23.92,49.39,24.85,33.26,132.33,3.8
1RV21CS037,Rohan Gupta,96.98,40.73,24.47,21.08,31.08,131.63,3.15
1RV21CS038,Aditya Mishra,65.06,47.99,49.17,21.2,30.73,156.07,4.33
1RV21CS039,Varun Deshmukh,93.63,32.19,38.62,24.64,47.9,155.9,5.88
1RV21CS040,Nikhil Banerjee,46.36,42.1,29.97,47.92,44.07,164.26,5.05
1RV21CS041,Praveen Hegde,88.31,23.24,46.17,45.76,26.67,144.85,3.3
1RV21CS042,Shivam Malhotra,57.26,39.8,31.95,28.36,22.08,129.96,2.76
1RV21CS043,Naresh Ghosh,82.37,45.31,29.93,20.83,46.31,146.27,3.9
1RV21CS044,Manoj Reddy,50.96,33.04,41.86,29.41,38.19,138.51,2.93
1RV21CS045,Siddharth Naidu,59.01,41.26,20.05,47.77,36.15,147.72,4.71
1RV21CS046,Chirag Naidu,65.03,22.1,39.93,29.91,29.42,125.85,4.6
1RV21CS047,Shivam Bhattacharya,62.01,32.25,32.07,28.87,23.82,116.81,5.7
1RV21CS048,Dev Rao,78.85,29.03,36.44,20.01,28.61,118.11,3.9
1RV21CS049,Yogesh Singh,70.57,33.26,26.41,34.2,47.04,147.35,1.85
1RV21CS050,Sai Dubey,73.35,38.99,30.06,44.55,42.53,158.42,2.12
1RV21CS051,Amit Shetty,46.34,27.35,34.25,45.49,22.18,119.58,4.15
1RV21CS052,Amit Sinha,83.3,34.83,27.32,39.68,20.17,131.26,4.85
1RV21CS053,Krishna Mukherjee,57.04,44.12,40.88,33.94,36.72,162.21,1.61
1RV21CS054,Rahul Menon,81.72,49.64,37.86,48.5,46.74,184.47,4.6
1RV21CS055,Naresh Mukherjee,90.68,36.44,46.92,42.31,34.24,155.02,2.24
1RV21CS056,Vivek Pandey,87.12,35.64,38.8,28.24,22.32,126.8,2.36
1RV21CS057,Yash Chavan,49.43,24.52,31.49,24.58,26.42,103.78,2.65
1RV21CS058,Gokul Banerjee,48.42,44.99,31.68,43.09,48.38,153.11,5.4
1RV21CS059,Siddharth Bose,71.23,48.28,28.96,31.7,46.75,166.33,3.69
1RV21CS060,Shreyas Chavan,88.99,46.93,34.65,28.19,34.57,150.46,4.34
1RV21CS061,Akash Paul,54.08,34.02,23.83,38.67,20.81,114.38,3.82
1RV21CS062,Vivaan Nair,80.35,24.07,33.85,21.51,31.37,109.56,2.63
1RV21CS063,Tanmay Bose,60.3,48.54,32.65,45.05,34.11,163.64,1.26
1RV21CS064,Varun Malhotra,80.76,43.44,39.55,42.63,48.49,167.39,1.1
1RV21CS065,Karthik Kapoor,51.94,40.08,36.92,26.54,40.98,148.82,1.84
1RV21CS066,Tarun Sinha,51.3,44.58,48.94,23.24,20.77,134.11,4.39
1RV21CS067,Abhishek Ghosh,96.78,25.95,37.76,44.92,27.29,140.65,2.51
1RV21CS068,Dev Kamble,89.3,43.89,36.98,21.23,35.98,150.59,1.34
1RV21CS069,Yogesh Yadav,45.7,32.6,34.71,33.01,30.87,134.75,3.3
1RV21CS070,Karthik Mukherjee,54.69,35.65,39.51,38.48,47.59,160.59,3.32
1RV21CS071,Raghav Patil,59.76,45.55,44.92,22.6,46.45,155.05,3.32
1RV21CS072,Vikram Bhat,65.84,20.86,45.53,25.46,26.36,122.13,2.7
1RV21CS073,Tarun Shekhar,93.41,36.67,35.5,25.73,27.24,131.74,3.78
1RV21CS074,Harsha Shekhar,71.19,41.36,33.45,20.52,28.83,129.03,2.22
1RV21CS075,Chirag Patil,65.3,36.6,30.31,49.9,36.51,146.05,3.27
1RV21CS076,Shivam Agarwal,57.68,41.64,29.47,42.29,48.53,162.16,1.96
1RV21CS077,Shreyas Varma,60.21,37.69,42.81,37.9,49.42,169.18,2.48
1RV21CS078,Suraj Rao,61.62,41.24,23.8,21.37,21.64,111.13,5.72
1RV21CS079,Vivek Chatterjee,50.64,20.37,28.53,34.36,30.22,117.96,2.26
1RV21CS080,Lokesh Kulkarni,90.22,32.02,22.22,38.88,21.61,113.89,3.81
1RV21CS081,Shivam Nair,99.67,23.55,42.93,38.19,43.72,143.13,3.61
1RV21CS082,Dinesh Pillai,61.35,37.66,32.86,37.06,21.81,138.52,1.5
1RV21CS083,Tanmay Choudhary,79.4,27.94,22.44,27.2,36.56,112.43,3.04
1RV21CS084,Hemant Kamble,70.85,20.98,28.64,28.48,45.79,114.83,2.17
1RV21CS085,Manoj Tripathi,77.44,44.12,25.93,23.44,26.74,122.63,2.33
1RV21CS086,Karthik Gupta,48.28,43.78,37.85,44.73,47.64,165.44,3.34
1RV21CS087,Shivam Shekhar,67.14,28.17,36.2,33.13,37.94,141.32,4.67
1RV21CS088,Tarun Agarwal,46.42,26.87,40.23,45.82,37.61,130.05,4.82
